x,y
15133,1.51427e+39
15256.8,1.52204e+39
15402.5,1.46176e+39
15548.1,1.40895e+39
15693.8,1.39319e+39
15839.4,1.37545e+39
15985.1,1.32319e+39
16130.7,1.27516e+39
16276.4,1.25667e+39
16422,1.21628e+39
16567.7,1.20786e+39
16713.3,1.30798e+39
16859,1.18607e+39
17004.6,1.12871e+39
17150.3,1.09287e+39
17295.9,1.06149e+39
17441.6,1.04705e+39
17587.2,1.02824e+39
17732.9,9.95206e+38
17878.5,9.97292e+38
18024.2,9.59372e+38
18169.8,9.34811e+38
18300.9,9.22956e+38
18388.3,9.23701e+38
18533.9,8.96069e+38
18679.6,8.757e+38
18825.2,8.70129e+38
18970.9,8.52248e+38
19116.5,8.33571e+38
19262.2,8.35697e+38
19407.8,8.12104e+38
19553.5,8.043e+38
19699.1,7.9354e+38
19844.8,7.68755e+38
19990.4,7.46658e+38
20136.1,7.3458e+38
20281.7,7.27525e+38
20427.4,7.02393e+38
20573,7.11496e+38
20718.7,6.92795e+38
20864.3,6.83006e+38
21010,6.68051e+38
21192,6.70083e+38
21483.3,6.33751e+38
21774.6,6.30907e+38
22065.9,5.84455e+38
22357.2,5.75104e+38
22648.5,5.49459e+38
22939.8,5.33006e+38
23231.1,5.06447e+38
23522.4,4.91425e+38
23813.7,4.82876e+38
24105,4.59247e+38
24396.3,4.46543e+38
24687.6,4.29107e+38
24978.9,4.25901e+38
25270.2,4.05759e+38
25561.5,3.94328e+38
25852.8,3.82934e+38
26144.1,3.68368e+38
26435.4,3.60372e+38
26581.1,3.78388e+38
26872.4,3.75258e+38
27163.7,4.12481e+38
27455,4.66748e+38
27746.3,5.08949e+38
28037.6,5.13176e+38
28328.9,4.24195e+38
28620.2,4.91887e+38
28911.5,3.85526e+38
29202.8,4.92052e+38
29494.1,4.81517e+38
29785.4,4.40025e+38
30076.7,4.47781e+38
30368,4.42759e+38
30659.3,4.2977e+38
30950.6,4.15752e+38
31241.9,4.01016e+38
31533.2,3.65871e+38
31824.5,3.81281e+38
32115.8,3.72622e+38
32407.1,3.68393e+38
32698.4,3.57774e+38
32989.7,3.50046e+38
33281,3.44016e+38
33572.3,3.38146e+38
33863.6,3.49993e+38
34154.9,3.30179e+38
34446.2,3.13804e+38
34737.5,3.06536e+38
35028.8,2.98052e+38
35320.1,2.69465e+38
35611.4,2.80409e+38
35902.7,2.75595e+38
36194,2.73538e+38
36485.3,2.6284e+38
36776.6,2.59312e+38
37067.9,2.54546e+38
37359.2,2.49859e+38
37650.5,2.42096e+38
37941.8,2.38056e+38
38233.1,2.35212e+38
38524.4,2.30608e+38
38815.7,2.23864e+38
39107,2.21392e+38
39398.3,2.16843e+38
39689.6,2.13637e+38
39980.9,2.09453e+38
40272.2,2.05748e+38
40563.5,2.01567e+38
40854.8,1.99048e+38
41146.1,1.95382e+38
