x,y,z
9854.98,4.18277e+39,0.448904
9856.35,4.18237e+39,0.44898
9858.55,4.18168e+39,0.449078
9861.21,4.18073e+39,0.449158
9863.87,4.17968e+39,0.4492
9866.07,4.17872e+39,0.449211
9867.44,4.17809e+39,0.449209
9867.97,4.17783e+39,0.449206
9868.81,4.17742e+39,0.4492
9870.16,4.17673e+39,0.449186
9871.78,4.17585e+39,0.449164
9873.41,4.17492e+39,0.449136
9874.76,4.17413e+39,0.44911
9875.6,4.17362e+39,0.449093
9876.34,4.17315e+39,0.449077
9878.53,4.17173e+39,0.449029
9882.08,4.16926e+39,0.448945
9886.37,4.166e+39,0.448835
9890.66,4.16245e+39,0.448719
9894.21,4.15931e+39,0.448621
9896.4,4.15726e+39,0.44856
9897.48,4.15624e+39,0.44853
9899.67,4.15409e+39,0.448469
9903.22,4.15048e+39,0.448369
9907.51,4.14587e+39,0.448242
9911.8,4.14102e+39,0.448104
9915.35,4.13682e+39,0.447978
9917.54,4.13414e+39,0.447893
9918.62,4.1328e+39,0.447849
9920.81,4.13004e+39,0.447755
9924.36,4.12543e+39,0.44758
9928.65,4.11967e+39,0.447319
9932.95,4.1137e+39,0.446983
9936.5,4.10861e+39,0.446634
9938.69,4.1054e+39,0.446381
9939.77,4.1038e+39,0.446245
9941.96,4.10051e+39,0.445945
9945.51,4.09509e+39,0.445406
9949.8,4.08838e+39,0.444693
9954.09,4.0815e+39,0.443948
9957.64,4.07568e+39,0.443334
9959.83,4.07203e+39,0.442967
9960.91,4.07023e+39,0.442791
9963.1,4.06652e+39,0.442446
9966.65,4.06044e+39,0.441925
9970.94,4.05296e+39,0.441359
9975.24,4.04535e+39,0.440871
9978.79,4.03897e+39,0.440529
9980.98,4.03498e+39,0.440348
9982.06,4.03302e+39,0.440268
9984.25,4.02899e+39,0.440122
9987.8,4.02242e+39,0.439941
9992.09,4.01438e+39,0.439818
9996.38,4.00626e+39,0.439807
9999.93,3.99947e+39,0.439888
10002.1,3.99525e+39,0.439981
10002.9,3.99369e+39,0.440025
10004,3.99153e+39,0.440092
10005.9,3.98804e+39,0.440216
10008,3.9838e+39,0.440391
10010.2,3.97955e+39,0.440586
10012,3.97601e+39,0.440759
10013.1,3.97383e+39,0.440869
10013.7,3.97277e+39,0.440923
10014.7,3.97064e+39,0.441033
10016.5,3.9672e+39,0.441212
10018.6,3.96303e+39,0.441428
10020.7,3.95885e+39,0.441638
10022.5,3.95539e+39,0.441803
10023.5,3.95324e+39,0.4419
10024.3,3.95165e+39,0.44197
10026.5,3.94729e+39,0.442145
10030.1,3.94023e+39,0.442376
10034.4,3.9317e+39,0.442554
10038.7,3.92317e+39,0.442599
10042.2,3.91613e+39,0.442519
10044.4,3.91179e+39,0.442409
10045.5,3.90967e+39,0.442338
10047.7,3.90534e+39,0.442154
10051.2,3.89836e+39,0.44175
10055.5,3.88997e+39,0.441083
10059.8,3.88165e+39,0.440218
10063.4,3.87483e+39,0.43935
10065.6,3.87064e+39,0.438744
10066.6,3.8686e+39,0.438428
10068.8,3.86445e+39,0.437746
10072.4,3.8578e+39,0.436562
10076.7,3.84986e+39,0.435053
10081,3.84204e+39,0.433534
10084.5,3.83568e+39,0.432326
10086.7,3.83179e+39,0.431622
10087.8,3.8299e+39,0.431293
10090,3.82608e+39,0.430657
10093.5,3.81998e+39,0.429728
10097.8,3.81276e+39,0.428767
10102.1,3.80573e+39,0.427978
10105.7,3.80006e+39,0.427452
10107.9,3.79662e+39,0.427183
10108.9,3.79496e+39,0.427066
10111.1,3.7916e+39,0.42686
10114.7,3.7863e+39,0.426625
10119,3.78011e+39,0.42652
10123.2,3.77415e+39,0.426634
10126.8,3.76941e+39,0.42691
10129,3.76658e+39,0.42717
10130.1,3.76521e+39,0.427324
